"rt","stimulus","key_press","screenid","trial_type","trial_index","time_elapsed","internal_node_id","subject","date","final_height_px","final_width_px","scale_factor","value","attr_trial","attractiveness_face","screen_id","attractiveness_rating"
"3068.2000000001863","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","33","746957","0.0-33.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","14","","attractiveness_scale","74"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/17 WF-024.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","34","749960","0.0-34.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","15","img/17 WF-024.jpg","",""
"9024.300000000047","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","35","758987","0.0-35.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","15","","attractiveness_scale","73"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/4 BM-039.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","36","761993","0.0-36.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","16","img/4 BM-039.jpg","",""
"4204.300000000047","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","37","766200","0.0-37.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","16","","attractiveness_scale","38"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/14 AM-218.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","38","769215","0.0-38.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","17","img/14 AM-218.jpg","",""
"10810.100000000093","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","39","780029","0.0-39.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","17","","attractiveness_scale","60"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/10 WF-208.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","40","783040","0.0-40.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","18","img/10 WF-208.jpg","",""
"2493.8000000000466","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","41","785535","0.0-41.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","18","","attractiveness_scale","25"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/11 WF-031.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","42","788548","0.0-42.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","19","img/11 WF-031.jpg","",""
"4227.399999999907","<div class='conf_div'><p style='margin-bottom: 28px; margin-top: 0px;'><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/cardback2o.jpg'></img><div id='mySlider5' style='width: 100%; text-align: center;'><table style='text-align: center; margin: auto; padding: 0;'><tr><td class='rightTdVas'>0<br>Very<br>unattractive</td><td><div style='position: relative;'><img src='responseScales/vas_banded.png' id='customSlider2' width='600px' height='60px'><div id='customTick2' class='customTick2'><img id='customTick2_fig' src='responseScales/tick2.png' width='25px' height='25px'></div></div></td><td class='rightTdVas'>100<br>Very<br>attractive</td></tr><tr><td colspan='3'><div id='mySlider5_value'></div></td></tr></table></div></div>","","","html-vas-custom","43","792777","0.0-43.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","19","","attractiveness_scale","66"
"null","<div class='conf_div'><p  style=' margin-bottom:28px; margin-top:0px; ' ><strong>How attractive do you think this face is?</strong></p><img class='central_stim' src='img/9 LM-226.jpg' </img><p  style=' margin-top: -60px;' ><strong><br><br><br><br><br><br><br></strong></p></div>","null","exposition_attractiveness","html-keyboard-response","44","795784","0.0-44.0","22222222222222222222222222222222222222222222222222222222222222222222222","2023-11-5 13:52","","","","","20","img/9 LM-226.jpg","",""
